Entry number,Primary image,Volume and folio,Volume,Type,Script,Occupations [Synthesised],Occupations stated in main metadata,Additional occupations & titles in body of deposition,Stated activities in body of text,Expertise or relationships evident in body of text,Date of deposition. MODERNIZED; ENGLISH CALENDAR ,Ship specified in which shipped or supplied to ,Ship master or skipper of captain ,Town and/or province and/or county to which primary ship belonged [with which deponent associated],COMPOSITE BURTHEN [tons],Details of ship's lading and her laders; including value of lading; and freight charges,Documents [letters; books; journals; notes; verbal contracts]; Making & Use of documents,"Language, reading & writing skills, quantitative skills; weighing; navigation skills; mapping skills; schools",Financial structures [bills of exchange; lending; assurance]; Late payments for freight; Legal agreements; Verbal contracts; Bonds; Debts; Bankruptcy; Currency exchange; Bullion; Trading profit calculations,Current country,Street/Hamlet,Parish/Precinct/Liberty,Town/Borough,"County, Province or Region",Age,Year of deposition,First name,Middle names,Surname,Voyage nodal points
15666,21091023_142705,KaggleTestSnippet_HCA_1361_f.9r.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Quartermaster [of the Seaflower]; Steward [of the Seaflower],Mariner,Quartermaster [of the Seaflower]; Steward [of the Seaflower],,,Jan 20th 1648,Seaflower,Miles or Simon Cawson [master],,,LADING AT BARBADOS: COTTON WOOL,,,,England,Ratcliffe,Stepney,,Middlesex,44,1648,Richardus,,Denby,[?/Guinea; Binney/Barbados/London [England]]
16030,21091023_150434,KaggleTestSnippet_HCA_1361_f.237v.PNG,HCA 13/61,Marke,N/A,Nauta [mariner]; One of the company [of the Love],Mariner,One of the company [of the Love],,,,Love of London,Gregory Milner [master and commander],London [England],,LADING AT VENICE: GOODS; MERCHANDIZES; LADING AT ZANT AND ZEPHALONIA: CURRANTS,"""The said master (Mr George Millner) presently sent away a letter for London to his owners this deponent seeing the purser goe ashore about sending of it away, and giving them notice of their arrivall, and desiring to knowe what course they should take in respect of the said revolted shipps, that being as hee heard the effect of the said letter"" (HCA 13/61 f.236v); ""About a week after the sending away of the said letter, their said master received another letter from the owners in answer thereof, but the contents thereof hee did not heare, only hee heard their said master saye that hee could not learne any otherwise but that the said Revolted shipps were then at Heland Sluce"" (HCA 13/61 f.236v); ""Upon the foresaid letter soe received from the owners, and the said common report that the said Revolted ffleete was gonne out of the Downes the master and company of the Love set saile from Plymouth and arrived with her in Dover roade (but the time of such their arrivall hee remembreth not) where hee saith there came two pilotts abord them from Dover, this deponent seeing them come on board"" (HCA 13/61 f.236v); ""Hee did not heare any of the discourse betwixt their said master and the said pilotts"" (HCA 13/61 f.237v); ""Hee remembreth not howe the winde then was, and saving the carrying their said shipp on the back side of the Goodwin Sands could not have bin attempted without apparant hazard and danger of the losse both of shipp and goods without a very able and experienced pilot, for this deponent heard their company on board saye that none of them had ever gonne that waye, and aving hee remembreth it was then very fowle weather and that the winde blewe hard"" (HCA 13/61 f.236v); ""When their said master could not get his said shipp and lading cleared hee sent his purser Mr Hendra away to London to acquaint his owners therewith, this deponent seeing him soe sent away"" (HCA 237r); ""Upon the said notice given to the owners, there came a gentleman downe from them into the Downes, and came and called their master aboard to goe wuth him to the Prince about aking meanes for the release of the said shipp, and forthwith went aboard the Princes shipp to that purpose, this deponent seeing him soe arrive and goe on board the said shipp"" (HCA 13/61 f.237r); ""The said gentleman soe sent downe could not (as it appeared) get the said shipp released, but saith there were diverse officers and gentlemen put on board her by order as they said of the Prince and his Counsell to secure her"" (HCA 13/61 f.237r); [AFTER MILLNER FAILED REPEATEDLY TO GET THE LOVE CLEARED] Hee [Millner] cleered any of his men that desired it, and soe diverse of her cheife officers and mariners to the number of sixteene or thereabouts (whereof this deponent was one) left her to come to London"" (HCA 13/61 f.237r); ""The number of the said gentlemen and offficers soe put on board the said shipp the Love to guard and watch her as aforesaid was about 60, whoe continued on board her untill her bringing to Helward sluce aforesaid"" (HCA 13/61 f.237v)",,,England,,Saint Laurence Pountney,London,,32,1649,Thomas,,Denman,[?/Venice/Zant/Zephalonia/London [England]]
15749,21091023_143757,KaggleTestSnippet_HCA_1361_f.78r.PNG,HCA 13/61,Marke,N/A,Sailmaker; One of the company [of the Charles],Sailmaker,One of the company [of the Charles],,,,Charles,Thomas Hawkins [master],,,,,,,England,Shadwell,Stepney,,Middlesex,39,1648,Nicholaus,,Dennis,[?/Malaga [Spain]/Albezine [Barbary]/?]
16307,21091023_153943,KaggleTestSnippet_HCA_1361_f.432r.PNG,HCA 13/61,Signature,Roman,Civis [citizen] [of London] and Grocer [of London]; Freighter [of the Endeavour]; On board [of the Endeavour],Citizen; Grocer,Freighter [of the Endeavour]; On board [of the Endeavour],,,,Endeavour of London [burthen = 22 to 24 tons] [ketch],William Sinderley,London [England],23,,,,,England,,Saint Olaves Southwark,Southwark,Surrey,30,1649,Andreas,,Dennis,[London [England]/Bergen [Norway]/London [England]]
16033,21091023_150514,KaggleTestSnippet_HCA_1361_f.243r_Two.PNG,HCA 13/61,Signature,Roman,Mariner; Master's mate [of the William and Richard]; One of the company [of the William and Richard],Mariner,Master's mate [of the William and Richard]; One of the company [of the William and Richard],,,Jan 23rd 1649,William and Richard,N/A CHECK IF JOHN TOTTEY,,,"LADING AT NEWFOUNDLAND: NEWFOUNDLAND FISH ""The sea by the extreamitie and violence of the said storme, brake into the said shipp and did wett part of her lading of drie fish, and broke in one of the shipps sides and brake the other side, and washed awaye her shakllop clearely, and staved her longe boate making it unserviceable, and carried away her fore [?XXXX] and spoyled her for [?XXX] making it alsoe unusefull, and they were forced to cut and did cutt the quantitie of two hundred yards or thereabouts of saile cloth to stop their upper leaks which afterwards was  nothing worth"" (HCA 13/61 f.343r)",,,,England,,Saint Olaves Southwark,Southwark,Surrey,26,1649,Georgius,,Dennis Junior,[?/Newfoundland/?]
16356,21091023_154220,KaggleTestSnippet_HCA_1361_f.451v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Not employed in named ship; Knows the ship the Saint Jacob of Rotterdam,,,,,,Saint Jacob of Rotterdam,,,,,,,,United Provinces,,,Rotterdam,Holland,44,1649,Cornelius,,Derrickson,NO VOYAGE DETAILS
16357,21091023_154222,KaggleTestSnippet_HCA_1361_f.452r.PNG,HCA 13/61,Signature,Roman,Lighterman; One of the lightermen [of Stephen Slaney's lighter],,,,,,Stephen Slaney's lighter,,,,LADING: WINE,,,,England,,All Hallows Barking,London,,39,1649,Johannes,,Dickson,"[Ralfe's Key, River Thames]"
15909,21091023_145513,KaggleTestSnippet_HCA_1361_f.174r_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; One of the company  [of the William of Preston],Mariner,One of the company [of the William of Preston],,,Oct 12th 1648,William of Preston,John Thompson [master],Prestonpans [Scotland],,"LADING: HOPS; WOOLEN CLOTH; COPPERIS; OTHER GOODS ""There were two barrells of copperis in the said shippm, and the water washed away or dissolved the same amongst the hopps"" (HCA 13/61 f.174r)",,,,Scotland,,,Preston Ponts,,33,1648,Thomas,,Dixon,[Scotland/River Thames [London; England]/?]River Thames]
15702,21091023_143211,KaggleTestSnippet_HCA_1361_f.41r.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Not employed in named ship;  Saw use of borrowed unnamed skiff,Mariner,Not employed in named ship,,,,Unnamed skiff,,,,,,,,England,N/A,Stepney,,Middlesex,20,1648,Henricus,,Dodson,[River Thames]
15801,21091023_144422,KaggleTestSnippet_HCA_1361_f.110r_Three.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master's mate [of the Hope of Amsterdam],Mariner,Master's mate [of the Hope of Amsterdam],,,,Hope of Amsterdam,Sivert Swetson alias Swartson [master],Amsterdam [Holland; United Provinces],,,,,,United Provinces,,,Amsterdam,Holland,33,1648,Herman,,Doeckas,[Amsterdam [Holland; United provinces]/Bristol [England]/?]
15808,21091023_144454,KaggleTestSnippet_HCA_1361_f.114r_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master's mate [of the Hope of Amsterdam],Mariner,Master's mate [of the Hope of Amsterdam],,,,Hope of Amsterdam,Sivert Swetson alias Swartson [master],Amsterdam [Holland; United Provinces],,,,,,United Provinces,,,Amsterdam,Holland,33,1648,Herman,,Doeckas,[Amsterdam [Holland; United provinces]/Bristol [England]/?]
16429,21091023_155729,KaggleTestSnippet_HCA_1361_f.487r.PNG,HCA 13/61,Signature,Roman,Mercator [merchant] [on board the Seaven Brothers],Merchant [on board the Seaven Brothers],,,,,Seaven Brothers of London,Robert Land [master],London {England],,,,,,England,,N/A,London,,36,1649,Jacobus,,Downe,[London?/Near Malaga [Spain]/?/London [England]]
16430,21091023_155736,KaggleTestSnippet_HCA_1361_f.487v.PNG,HCA 13/61,Signature,Roman,Mercator [merchant] [on board the Seaven Brothers],Merchant [on board the Seaven Brothers],,,,,Seaven Brothers of London,Robert Land [master],London {England],,,,,,England,,N/A,London,,36,1649,Jacobus,,Downe,[London?/Near Malaga [Spain]/?/London [England]]
16022,21091023_150351,KaggleTestSnippet_HCA_1361_f.232r_One.PNG,HCA 13/61,Signature,Roman,Sailmaker; One of the company [of the Love],Sailmaker,One of the company [of the Love],,,,Love of London,Gregory Milner [master and commander],London [England],,LADING AT ZANT: CURRANTS,"""After the said shipp the Love had taken in the foresaid currans and other lading the master and company of her brought her and her lading towards this kingdome of England, intending to come therewith to this porte of London, and in her said course about the middle of July last past entring the Channell mett with the shipp the Barnstable Merchant, the master whereof gave them notice that there were shipps revolted, and that it was supposed they would be then abroad or to that effect, this deponent hearing him speake thereof...The said master and company haveing received the said notice did put into the Sound of Plymouth out of care and desire to avoide the said Revolted shipps, and arriving there on or about the 18th day of July last their said master Gregory Millner forthwith wrote a letter to his owners being in London to certifie them of his arrivall there with the said shipp, and desired to receive suddaine advice from them where the Revolted shipps were and what course hee should take to avoide them or to that effecte, with the contents of which letter this deponent was made acquainted by their purser Mr Hendra his contest, this deponent helping to carry him ashore therewith at Plymouth the same daye they there arrived, and hee going to send it forthwith away for London"" (HCA 13/61 f.229v); ""After the premisses and while they continued at Plimouth in expectation of an answer of the said letter, there came a letter in answer thereof about 8 dayes after the sending of that of their masters, wherein and whereby the owners aforesaid wished and ordered the said master to bringe the said shipp forthwith for London in regard the winde was then westerly and faire (as indeede hee saith it was) and being soe westerly was not fitt to bringe out the said Revolted shipps, and to bring her away before the Revolted shipps came up into the Downes, or to that effect, this deponent hearing the said letter read aboard the said shipp in the porte of Plymouth by their said master, the same being written as hee remembreth from Captaine Rider in the name of the owners"" (HCA 13/61 f.229v); ""Thomas Tiddiman of Dover came aboard them neere Dover roade and brought the said pilots aboard, and this deponent heard him saye aboard to their master that the owners had written to him to provide and bring them a pilote aboard to carry their said shipp in a course for London soe as shee might not meete with the Revolted ships or to that purpose"" (HCA 13/61 f.231r)",,,England,,Precinct of Saint Catherines near the Towr of London,,,28,1649,Willielmus,,Drake,[?/Venice/Zant/Zephalonia/London [England]]
15888,21091023_145351,KaggleTestSnippet_HCA_1361_f.163v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; One of the company [of the Daniel of London],Mariner,One of the company [of the Daniel of London],,,,Daniel of London,Daniel Gates [master],London [England],,LADING AT NEWFOUNDLAND: NEWFOUNDLAND FISH,,,,England,,,[?Coome and Tenere],Devon,25,1648,Philippus,,Drew,[?/Newfoundland/Alicante [Spain]/?]
15795,21091023_144403,KaggleTestSnippet_HCA_1361_f.107v.PNG,HCA 13/61,Signature,Roman,"Chirurgus [chirurgeon] [on ship] [of the George of London]; Factor [for producents Mr ffutter, Mr Cust, Captain Ireland and Company]",Chirurgeon [of the George of London],"Factor [for producents Mr ffutter, Mr Cust, Captain Ireland and Company]",,,,George of London [pinnace],Mr Lee,London [England],,,,,,England,Wapping,N/A,,Middlesex,23,1648,Johannes,,Drowne,[London [England]/Guinea/London [England]]
15961,21091023_145825,KaggleTestSnippet_HCA_1361_f.198r_One.PNG,HCA 13/61,Marke [or ?Initials],N/A,Nauta [mariner [of the Abigall of Ipswich]]; In boat with George Robinson weighing an anchor,Mariner [of the Abigall of Ipswich],,In ship's boat of the Abigall of Ipswich boat with George Robinson weighing an anchor,,,Abigall of Ipswich,Robert Browne [master],Ipswich [Suffolk; England],,,,,,England,N/A,Stepney,,Middlesex,42,1648,Willielmus,,Dun,[At anchor near Redrith; River Thames [London; England]]
15772,21091023_143953,KaggleTestSnippet_HCA_1361_f.91r_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Not employed in named ship,Mariner,Not employed in named ship,,,,,,,,,,,,Hamburg,,,Hamburg,,28,1648,Johannes,,Duncker,
16139,21091023_151945,KaggleTestSnippet_HCA_1361_f.343r.PNG,HCA 13/61,Signature,Roman,"Famulus [servant] and Apprenticius [apprentice] [to Henry Colquite, party producent]",Servant; Apprentice,,,,,Desire,,,,,,,,England,,,N/A,,19,1649,Walterus,,Dusting,[London/Fowey [Cornwall; England]/Bristol [England]]
16212,21091023_152701,KaggleTestSnippet_HCA_1361_f.390v.PNG,HCA 13/61,Marke,N/A,Nauta [mariner]; One of the company [of the Abigael of Birghthampson],Mariner,One of the company [of the Abigael of Brighthampson],,,,Abigael of Brighthampson [bark; ketch] [est. burthen = 55 tons],Robert Longe [master],Brighthampson [Sussex; England],55,LADING AT CHICHESTER: MALT,,,,England,,,Brighthampson,Sussex,21,1649,Thomas,,Dwite,[Chichester [Sussex; England]]/London [England]/?]
16181,21091023_152343,KaggleTestSnippet_HCA_1361_f.368v.PNG,HCA 13/61,Signature,Roman,Chirurgus [chirurgion] [on ship] [of the Jonas],Chirurgus [chirurgion],Chirurgus [chirurgion] of the Jonas],,,,Jonas (burthen = 210 to 240 tons),Miles Pyles [master],,225,LADING AT NEWFOUNDLAND: NEWFOUNDLAND FISH,,,,England,,,Dartmouth,Devon,29,1649,Johannes,,Eakins,[London [England]/Dartford [Devon; England]/Newfoundland/San Lucar [Spain]/London [England]]
16087,21091023_151035,KaggleTestSnippet_HCA_1361_f.282r.PNG,HCA 13/61,Signature,Roman,Scriptor [scrivener],Scriptor [scrivener],,Witnessed signing and sealing of bills of sale by John Bowden in his shop in Towerstreete,,,Greene Dragon,,,,,"""Hee this deponent was present in his shopp situat in Tower streete in the parish aforesaid, and did see the arlate James Bowden signe seale and for his act and deed deliver the said severall schedules or bills of sale arlate, and upon such his  sealing, subscribing and delivery this deponent having seene his name thereto acknowledgeth it to be by him written the time and place aforesaid"" (HCA 13/61 f.281v)",,,England,Shop in Towerstreete,,London,,34,1649,Robertus,,Earle,[River Thames]
16028,21091023_150414,KaggleTestSnippet_HCA_1361_f.235r.PNG,HCA 13/61,Marke and Signature,N/A,Nauta [mariner]; Cook [on ship] [of the Love],Mariner,Cooke [of the Love],In the Love all the voyage,,,Love of London,Gregory Milner [master and commander],London [England],,LADING AT VENICE: GOODS; MERCHANDIZES; LADING AT ZANT AND ZEPHALONIA: CURRANTS,"""The said master and company out of their care and desire to avoide the said revolted shippe, did put into and touch in the Sound of Plymouth and there arrived about the eighteenth day of July last past, and forthwith upon their arrivall there, their master (Gregory Millner) wrote and sent up a letter to his owners here in London to receiove advise from them touching the said Revolted shipps and what course they should take, this deponent being made acquainted with the contents thereof to the effect aforesaid by their said master"" (HCA 13/62 f.233v); ""They staying at Plymouth for answer of the said letter, there came about a weeke after the same was sent away an answer thereof, wherein (as their master acquainted the company) the said owners wrote that they should make haste and bringe the said shipp and lading for London, for that the Revolted shipps were gone out of the Downes to the northward or to that effect"" (HCA 13/61 ff.233v-234r); ""There came two pilots on board the said shipp from Dover, this deponent seeing them soe come on board...for hee heard not what was said betwixt them and the master and company touching the matters arlate"" (HCA 13/61 f.234r); ""Upon the premisses there came a merchant downe from the owners to endeavour the release of the said shipp and lading, this deponent seeing him come aboard the said shipp and goe on board the shipp wherein the Prince was to that purpose"" (HCA 13/61 f.234r); ""After the said shipp came and arrived neere Helvard sluce the said master went againe aboard the Princes shipp, and this deponent heard him saye that hee went by order of his owners to make meanes for the release of the said shipp the Love and her goods and lading aboard her, and that if hee could not obtaine it, hee would if hee could get leave to goe with her into Helvard sluce as not being serviceable"" (HCA 13/61 ff.234r-234v); ""According to the said directions of the owners (intimated as aforesaid) to the company by their master) the said shipp the Love set saile from Plymouth and arrived in or neere Dover Roade on the first of August last past"" (HCA 13/61 f.234r); ",,,England,,,Yampton,Devon,40,1649,Johannes,,Eckfor,[?/Venice/Zant/Zephalonia/London [England]]
16115,21091023_151555,KaggleTestSnippet_HCA_1361_f.316v_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Cook [of the Saint Gregorie of Hoorn],Mariner,Cook [of the Saint Gregorie of Hoorn],,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,"""This is the second voyage that hee hath made into England and can understand much English although hee speakes but little and that hee hath understood some English above a yeare and halfe last past"" (HCA 13/61 f.316v)",,United Provinces,,,Harlingen,Frisia Occidentali,23,1649,Derricke,,Edes,[River Thames]
16415,21091023_155624,KaggleTestSnippet_HCA_1361_f.479r_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Steersman or Master's mate [of the Saint Anthonio],Mariner,Steersman or Master's mate [of the Saint Anthonio],,,,Saint Anthonio,,,,,,,,United Provinces [Holland],,,Euchusen,Holland,49,1649,[?Sweene],,Edison,NO VOYAGE DETAILS
15828,21091023_144634,KaggleTestSnippet_HCA_1361_f.126v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master [of the Good Intent],Mariner,Master [of the Good Intent],,,,Good Intent,James Edmunds [master],,,,,,,England,,,Aldeburgh,Suffolk,N/A,1648,Jacobus,,Edmunds,[?/River Humber/?]
15829,21091023_144642,KaggleTestSnippet_HCA_1361_f.127v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master's mate [of the Good Intent],Mariner,Master's mate [of the Good Intent],,,,Good Intent,James Edmunds [master],,,,,,,England,N/S,Stepney,,Middlesex,46,1648,Edwardus,,Edmunds,[?/River Humber/?]
16507,21091023_160118,KaggleTestSnippet_HCA_1361_f.517r.PNG,HCA 13/61,Signature,Roman,Chandler; London Customhouse waiter,Chandler,London Customhouse waiter,,,,Unnamed lighter,,,,,,,,England,,Saint Bartholomews near the Royal Exchange,,,41,1649,Thomas,,Edmunds,NO VOYAGE DETAILS
16141,21091023_151952,KaggleTestSnippet_HCA_1361_f.343v_Two.PNG,HCA 13/61,Signature,Roman,Sailor; One of the company [of the Assurance ffrigott],Sailor,One of the company [of the Assurance ffrigott],,,,Assurance ffrigot [man of war],Captain Penn [commander],,,,,,,Island of Guernsey,,,,Guernsey,20,1649,Edmundus,,Effer,[?/coast of county Kerry [Ireland]/?]
16222,21091023_152741,KaggleTestSnippet_HCA_1361_f.395r.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master [of unnamed ships],Mariner,Master [of unnamed ships],,,,Unnamed ships,Petrus Eldrick [master],,,,,,,United Provinces [Zeeland],,,Vlissingen,Zeeland,48,1649,Petrus,,Eldrick,NO VOYAGE DETAILS
16177,21091023_152324,KaggleTestSnippet_HCA_1361_f.366v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master [of the Concord of Flushing]; Part-owner [of the Concord of Flushing],Mariner,Master [of the Concord of Flushing],,,,Concord of Flushing,Peter Elinge [master],Vlissingen [Zeeland; United Provinces],,LADING: SALT; TOBACCO; WINE; SUGAR; PEPPER; CINNAMON; ROBBENING; YARN; OTHER LIKE COMMODITIES,,,,United Provinces [Zeeland],,,Vlissingen,Zeeland,48,1649,Petrus,,Elinge,[Vlissingen[Zeeland; United Provinces]/Bordeaux [France]/Waterford [Ireland]/?]
15963,21091023_145830,KaggleTestSnippet_HCA_1361_f.198v.PNG,HCA 13/61,Marke [or ?Initials],,"Famulus [servant] [to party producent, Richard Diggins, baker]","Servant [to the party producent, Richard Diggins, baker]",,,,,Greene Dragon,John Bowden,,,,,,,England,Limehouse,Stepney,,Middlesex,24,1648,Aron,,Ellesmore,[River Thames]
15661,21091023_142617,KaggleTestSnippet_HCA_1361_f.5v.PNG,HCA 13/61,Signature,Roman,"Uxor [wife] [of Ezekielus Elliot, yeoman]",Wife,,,Sister of the producent,Jan 19th 1648,Sarah of Leigh [hoy],,Leigh [Essex; England],,OUTWARD LADING: BUTTONS; TWIST; THREAD,,,,England,,,Rayly [or Raly],Essex,25,1648,Sara,,Elliot,[Leigh [Essex; England]/London [England]]
16084,21091023_151028,KaggleTestSnippet_HCA_1361_f.281r_Two.PNG,HCA 13/61,Signature,Roman,Mariner; Went forth [in the Constant],Mariner,,Went forth in the Constant,,,Constant,Captain Richard Parr [captain],,,,,,,England,Shadwell,Stepney,,Middlesex,23,1649,Caleb,,Elliot,[?/Barbados/?]
16190,21091023_152445,KaggleTestSnippet_HCA_1361_f.375v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master [of the Thomas and Margaret],Mariner,Master [of the Thomas and Margaret],,,,Thomas and Margaret [ketch],Joseph Elliot [master],,,,"""Thomas Johnson [the main owner of the Thomas and Margaret] during the time that the said shipp or ketch the Thomas and Margaret was and remained in the Prince's ffleete did write severall letters to the arlate Thomas Harvey captaine of the said vessell to bringe away the said ketch to some port in England under the obsedience of the Parliament, which letters the said Harvey received and showed to this deponent, who read the same and was and is very well acquainted with the hand writinge of the said Johnson"" (HCA 13/61 f.375r); ""The company after they came into Dartmouth  were examined and their confessions put into writinge and afterwards redd to them and by them subscribed, and the schedules annexed are the said examinations and the contents thereof were and are true saving hee was not on board when the said ketch came out of ffrance and was seized by the Revolted ffleete"" (HCA 13/61 f.375v)",,,England,,,Yarmouth,Norfolk,45,1649,Josephus,,Elliot,[France/Holland [United Provinces]/Dartmouth [Devon; England]]
16498,21091023_160041,KaggleTestSnippet_HCA_1361_f.512r_Two.PNG,HCA 13/61,Signature,Roman,"Uxor [wife] [of Robert Elliott, mariner]; Witnessed signing of a document","Wife [of Robert Elliott, mariner]",,Witnessed signing of a document,,,Reformation,John Stretton,,,,"""On or about the day of the date of the said third schedule videlicet on or about the thirteenth day of September in the 24th yeere of the raigne of his late Majestie Kinge Charles, shee this deponent was with her precontest Robert Barry [Gentleman] present and did see the said Robert Bowes signe seale and for his act and deede deliver the said third schedule [a bill of sale], which donne this deponent and her said precontest sett their names on the back thereof as witnesses as nowe appeareth, and by her name on the said back side of the said schedule which shee acknowledgeth to be written with her owne hand shee well knoweth the said schedule to be the same and not have bin since altered"" (HCA 13/61 f.512r)",,,England,,Saint Mary Magdalen Bermondsey,,Surrey,35,1649,Margareta,,Elliot,NO VOYAGE DETAILS
15824,21091023_144613,KaggleTestSnippet_HCA_1361_f.124r.PNG,HCA 13/61,Signature,Roman,Nauta [mariner] [of the William of London],Mariner [of the William of London],,,,,William of London,Abraham Stephens,London [England],,,,,,England,Ratcliffe,Stepney,,Middlesex,40,1648,Robertus,,Ellis,NO VOYAGE DETAILS
16042,21091023_150616,KaggleTestSnippet_HCA_1361_f.249r.PNG,HCA 13/61,Initials,Roman,"Naupegus [shipwright] [on ship]; Servant and Apprentice [to Mr Robert Castle, carpenter of the Mary Bonadventure]; One of the company [of the Mary Bonadventure]",Shipwright,"Servant and Apprentice [to Mr Robert Castle, carpenter of the Mary Bonadventure]; One of the company [of the Mary Bonadventure]",,,,Mary Bonadventure [burthen = 240  to 280 tons],Thomas Mullenox [master],,260,,,,,England,N/A,Stepney,,Middlesex,19,1649,Edwardus,,Ely,[River Thames; London; England]
16043,21091023_150621,KaggleTestSnippet_HCA_1361_f.249v.PNG,HCA 13/61,Initials,Roman,"Naupegus [shipwright] [on ship]; Servant and Apprentice [to Mr Robert Castle, carpenter of the Mary Bonadventure]; One of the company [of the Mary Bonadventure]",Shipwright,"Servant and Apprentice [to Mr Robert Castle, carpenter of the Mary Bonadventure]; One of the company [of the Mary Bonadventure]",,,,Mary Bonadventure [burthen = 240  to 280 tons],Thomas Mullenox [master],,260,,,,,England,N/A,Stepney,,Middlesex,19,1649,Edwardus,,Ely,[River Thames; London; England]
15781,21091023_144030,KaggleTestSnippet_HCA_1361_f.94r_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Steersman or Master's mate [of the Hope of Lubeck]; One of the company [of the Hope of Lubeck],Mariner,Steersman or Master's mate [of the Hope of Lubeck]; One of the company [of the Hope of Lubeck],,,,Hope of Lubeck,Alerd Grube,Lubeck,,,,,,Lubeck,,,Lubeck,,32,1648,Matthaus,,Engle,[?/Danzig/London [England]; anchored at Limehouse reach [River Thames]
16138,21091023_151936,KaggleTestSnippet_HCA_1361_f.342r.PNG,HCA 13/61,Signature,Roman,Rope seller; Apprentice [to the producent David Davidson],Rope seller,Apprentice [to the producent David Davidson],Deliverd goods to the James,,,James [now called the ffortune],,,,,"""The same agreeth in all things both for parcells and prices with the said shopp booke touching the said goods"" (HCA 13/61 f.343r)",,,England,,Saint Mary Matsellon alias Whitechapel,London,,26,1649,Robertus,,Errington,"[London [England]/Canaries/Margate [Kent; England]]/?London, but driven by bad weather to Flushing]"
16244,21091023_153530,KaggleTestSnippet_HCA_1361_f.405r.PNG,HCA 13/61,Initials,Roman,Carpenter [on  ship] [of the William and Richard],N/A,0,,,,William and Richard,John Tottey [master],,,,,,,,,Saint Mary Matsellon alias Whitechapel,,,N/A,1649,Rogerus,,Escot,[River Thames; near Blackwall stairs; at anchor; bound outwards; fouled]
16164,21091023_152159,KaggleTestSnippet_HCA_1361_f.359r_One.PNG,HCA 13/61,Initials,Roman,Naupagus [shipwright] [on ship]; Carpenter [of the William and Richard]; One of the company [of the William and Richard},Shipwright,Carpenter [of the William and Richard]; One of the company [of the William and Richard},,,,William and Richard,John Tottey [master],,,,,,,England,,Saint Mary Matsellon alias Whitechapel,,N/A,42,1649,Rogerus,,Escott,[River Thames; near Blackwall stairs; at anchor; bound outwards; fouled]
16064,21091023_150858,KaggleTestSnippet_HCA_1361_f.270r.PNG,HCA 13/61,Marke,N/A,Nauta [mariner]; On board [of the William and Richard],Mariner,On board [of the William and Richard],,,,William and Richard,John Tottey [master],,,,,,,England,N/A,CHECK,CHECK,Middlesex,55,1649,David,,Evans,[River Thames; near Blackwall stairs; at anchor; bound outwards; fouled]
15739,21091023_143540,KaggleTestSnippet_HCA_1361_f.63v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master [of the Robert of London],Mariner,,,,,Robert of London,John Ewell [master],London [England],,,,,,England,,Saint Mary Magdalene Bermondsey,Southwark,Surrey,36,1648,Johannes,,Ewell,[?/?Bournif [Brittany; France]/Poole {Dorset]]
15663,21091023_142631,KaggleTestSnippet_HCA_1361_f.6r_Two.PNG,HCA 13/61,Signature,Roman,Widow; Mother of Beniamin Ewers,Widow,,,Mother of Beniamin Ewers,Jan 19th 1648,Sarah of Leigh [hoy],,Leigh [Essex; England],,OUTWARD LADING: BUTTONS; TWIST; THREAD,,,,England,,,Leigh,Essex,61,1648,Elizabetha,,Ewers,[Leigh [Essex; England]/London [England]]
